Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
93,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
94,303,303-14-000007,WO-000004,06/02/2016,145215,10812,134403,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
95,303,303-14-000007,WO-000004,06/02/2016,21551600,3196540,18355060,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
96,303,303-14-000007,WO-000004,06/02/2016,22697200,3363791,19333409,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
97,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
98,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
99,303,303-14-000007,WO-000004,06/02/2016,27780800,3716791,24064009,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
100,303,303-14-000007,WO-000004,06/02/2016,684020,68402,615618,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
101,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
102,303,303-14-000007,WO-000004,06/02/2016,53843200,6919414,46923786,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
103,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
104,303,303-14-000007,WO-000004,06/02/2016,655500,65550,589950,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
105,303,303-14-000007,WO-000004,06/02/2016,171005,17100,153905,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
106,303,303-14-000007,WO-000004,06/02/2016,21229400,3099500,18129900,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
107,303,303-14-000007,WO-000004,06/02/2016,28675800,4186675,24489125,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
108,303,303-14-000007,WO-000004,06/02/2016,30573200,4463700,26109500,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
109,303,303-14-000007,WO-000004,06/02/2016,684021,68402,615619,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
110,303,303-14-000007,WO-000004,06/02/2016,31002800,4884386,26118414,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
111,303,303-14-000007,WO-000004,06/02/2016,30322600,4427255,25895345,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
112,303,303-14-000007,WO-000004,06/02/2016,29356000,4285980,25070020,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
113,303,303-14-000007,WO-000004,06/02/2016,684021,68405,615616,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
114,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
115,303,303-14-000007,WO-000004,06/02/2016,145215,10812,134403,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
